usia;kelompok
1         ;Balita              
1         ;Balita              
8         ;Kanak-Kanak         
37        ;Dewasa              
1         ;Balita              
12        ;Remaja              
15        ;Remaja              
44        ;Dewasa              
9         ;Kanak-Kanak         
55        ;Tua                 
50        ;Dewasa              
2         ;Balita              
39        ;Dewasa              
38        ;Dewasa              
38        ;Dewasa              
56        ;Tua                 
76        ;Tua                 
34        ;Dewasa              
8         ;Kanak-Kanak         
74        ;Tua                 
65        ;Tua                 
29        ;Dewasa              
70        ;Tua                 
36        ;Dewasa              
31        ;Dewasa              
25        ;Dewasa              
26        ;Dewasa              
57        ;Tua                 
51        ;Dewasa              
33        ;Dewasa              
66        ;Tua                 
72        ;Tua                 
73        ;Tua                 
40        ;Dewasa              
59        ;Tua                 
41        ;Dewasa              
20        ;Pemuda              
35        ;Dewasa              
45        ;Dewasa              
35        ;Dewasa              
18        ;Pemuda              
17        ;Pemuda              
52        ;Dewasa              
11        ;Kanak-Kanak         
68        ;Tua                 
14        ;Remaja              
39        ;Dewasa              
64        ;Tua                 
75        ;Tua                 
28        ;Dewasa              
22        ;Pemuda              
72        ;Tua                 
29        ;Dewasa              
34        ;Dewasa              
2         ;Balita              
10        ;Kanak-Kanak         
26        ;Dewasa              
61        ;Tua                 
20        ;Pemuda              
4         ;Balita              
3         ;Balita              
26        ;Dewasa              
1         ;Balita              
60        ;Tua                 
56        ;Tua                 
2         ;Balita              
47        ;Dewasa              
68        ;Tua                 
37        ;Dewasa              
20        ;Pemuda              
39        ;Dewasa              
24        ;Dewasa              
78        ;Tua                 
16        ;Remaja              
19        ;Pemuda              
74        ;Tua                 
53        ;Dewasa              
48        ;Dewasa              
44        ;Dewasa              
22        ;Pemuda              
26        ;Dewasa              
5         ;Balita              
76        ;Tua                 
15        ;Remaja              
36        ;Dewasa              
15        ;Remaja              
37        ;Dewasa              
11        ;Kanak-Kanak         
17        ;Pemuda              
54        ;Dewasa              
65        ;Tua                 
35        ;Dewasa              
9         ;Kanak-Kanak         
17        ;Pemuda              
18        ;Pemuda              
59        ;Tua                 
6         ;Kanak-Kanak         
25        ;Dewasa              
61        ;Tua                 
61        ;Tua                 
